a. wordSent,b1. sent1,b2. sent2,b3. sent3,b4. sent4,b5. sent5,b6. sent6,syntcat1,syntcat2,syntcat3,syntcat4,syntcat5,syntcat6,d. wordCloud,e1. cloud1,e2. cloud2,e3. cloud3,e4. cloud4,e5. cloud5,e6. cloud6,f. wordImg
Mathematical,It’s a random mathematical expression to me.,Calculus is a type of mathematical study.,The mathematical simulation made the point,The course has a mathematical classification. ,Mathematical formulas use arbitrary variables. ,These generalizations are mathematical in nature. ,Adj,Adj,Adj,Adj,Adj,Adj,'mathematical',mathematical,equation,algebra,probability,calculus,geometry,Mathematical
Mechanism,Pull the wire to trigger a mechanism.,The latch was part of a bigger mechanism.,The mechanism had a handle to start it.,The man is proud of his patented mechanism,The mechanism is designed for that. ,He’s able to fix the mechanism in no time.,N,N,N,N,N,N,'mechanism',mechanism,screw,wire,pin,hook,rod,Mechanism
Medication,The medication has strange effects on her.,Her combination of medication wasn’t good. ,The medication acts as an antidote. ,The formulation of the medication is new.,She took her old prescription medication instead. ,This medication is essential to his well-being.  ,N,N,N,N,N,N,'medication',medication,effects,pill,prescription,aspirin,sedative,Medication
Money,I will pay you money for this. ,A good retirement requires saving money.,His paycheck means money for the kids. ,She wants to borrow some of his money. ,Earn some money before you take mine. ,I can withdraw some money beforehand.,N,N,N,N,N,N,'money',money,pay,spend,cash,saving,borrow,Money
Mountain,The trail ends halfway up the mountain.,I wanted to ski down the mountain faster.,The glacier is at the mountain top.,A snowboarder got stuck on the mountain.,The mountain had a beautiful summit.,The mountain has a steep slope. ,N,N,N,N,N,N,'mountain',mountain,riding,climbing,hike,camping,skiing,Mountain
Movement,The movement was revolutionary. ,This is a movement against communism. ,The movement was oppressive. ,The movement is based on utopian ideals.,Many in the movement have a scary mindset.  ,Radical people took part in the movement. ,N,N,N,N,N,N,'movement',movement,freedom,democracy,revolutionary,capitalist,dictatorship,Movement
Movie,This story is left out of the movie. ,The character doesn’t develop in the movie. ,The movie premiere had a red carpet.,This movie is one adventure after the other. ,Turn on the T.V. to watch the movie. ,A movie can have many sequels. ,N,N,Adj,N,N,N,'movie',movie,hero,character,adventure,villain,fantasy,Movie
Music,This song is like her favorite kind of music.,The orchestra plays beautiful music.,"I can't improvise music, unfortunately. ",The performer forgot his sheet music. ,Karaoke is not the place for good music. ,Elevator music is usually instrumental. ,N,N,N,N,N,N,'music',music,song,band,concert,singing,instrument,Music
Nation,The revolution restructured the nation.,Colonialism shaped the nation in no time.,Impoverishment left the nation crumbling. ,Migration changed the population of the nation. ,Globalization impacts this nation more. ,The rebellion rocked the small nation. ,N,N,N,N,N,N,'nation',nation,revolution,invasion,civilization,independence,repression,Nation
News,The report presents the news in lay language.,She took a peek at the news before work.,The forum argued about the news. ,The archives contain the news since 1950. ,The news is broadcasted in the newsroom.,I learn a lot of gossip from the news. ,N,N,N,N,N,N,'news',news,newspaper,reporter,entertainment,discussion,comment,News
Noise,I could hear some noise last night.,The noise he heard was of her crying.,The child's whispering made some noise. ,The scariest noise ever was the rumble.,She suppressed her squeal to not make noise.,The noise was a low-pitched growl. ,N,N,N,N,N,N,'noise',noise,hear,crying,shout,buzzing,rumbling,Noise
Obligation,Her obligation made her liable.,The reserved man made privacy an obligation.,The contract outlined their obligation. ,The obligation was harmless.,The stockholder has an obligation to stay.  ,His boss refused to disclose the obligation. ,N,N,N,N,N,N,'obligation',obligation,contract,person,agreement,individual,licensed,Obligation
Pain,She could get no relief from the pain.,The simple irritation became intense pain.,Her migraine caused her pain.,A nosebleed usually doesn’t cause you pain. ,She had some bruising but felt no pain. ,The pain from the stomachache is unbearable. ,N,N,N,N,N,N,'pain',pain,fever,sore,exhaustion,sickness,thirst,Pain
Personality,His personality changes with his stress.,His personality is just compulsive.  ,Her subconscious impacted her personality.,He has borderline personality disorder. ,His personality brought down her mood. ,That overt trait is a part of her personality. ,N,N,N,Adj,N,N,'personality',personality,mood,behavior,anxiety,emotional,depression,Personality
Philosophy,Philosophy provides many perspectives.,Existentialism is a topic of philosophy. ,Spirituality and philosophy aren’t the same.  ,The paradigm taught in philosophy confused her. ,Materialism is a discussion in philosophy. ,She loves philosophy yet remains agnostic. ,N,N,N,Adj,N,N,'philosophy',philosophy,theory,ethics,morality,notion,discourse,Philosophy
Picture,The picture was sketched on paper.,He will scribble a picture for you.,Printing a picture is harder than it seems.,Draw the picture in ink.,Picture is another word for a photograph. ,The letter contained a picture. ,N,N,N,N,N,N,'picture',picture,paper,photo,print,drawing,portrait,Picture
Pig,The pig and cattle do not get along well.,The horse shared its food with the pig.,The whinny frightened the pig. ,The pig got stuck in the lasso. ,The pig was sprawled in the hay.,The bigger pig was a stud. ,N,N,N,N,N,N,'pig',pig,farm,cow,slaughter,sheep,livestock,Pig
Plan,The first step of the plan is now complete. ,The plan can result in a transformation. ,The execution of the plan was preemptive. ,The expulsion led to a change of plan. ,The plan is a demonstration of her goodwill.,Follow the essential plan for success. ,N,N,N,N,N,N,'plan',plan,process,procedure,complete,following,delay,Plan
Plant,The plant was growing fast by springtime.,The artificial plant looked almost real. ,The leafy plant looked better indoors.,The windowsill had acquired a new plant. ,The garden could use a new plant.,He watered the plant after the reminder. ,N,N,N,N,N,N,'plant',plant,grow,garden,grass,bloom,seed,Plant
Play,"He wanted to play the game, too.",You can play too if you play softball.,He gets to play golf at his meetings.,Play volleyball more often for good legs. ,Sparring is his way to play with you. ,The competition forces you to play well. ,V,V,V,V,V,V,'play',play,game,sport,gambling,playground,athletic,Play
Pleasure,People have sex for pleasure.  ,People get pleasure from masturbation. ,Forced pleasure is an oxymoron. ,She fantasizes about the pleasure of his touches. ,He was gay and got pleasure from him.  ,Sexual pleasure can be a taboo topic.,N,N,N,N,N,N,'pleasure',pleasure,sex,kissing,erotic,intercourse,orgasm,Pleasure
Poor,The young people were poor.,The poor man felt powerless.,The poor orphan wished for his parents.,The poor woman is tormented by her faults.,The poor girl became dependent again.,The unlucky man quickly became poor. ,Adj,Adj,Adj,Adj,Adj,Adj,'poor',poor,lonely,desperate,trapped,suffering,helpless,Poor
Prison,Another word for jail is prison.,He got out of prison early on parole.,"No longer a juvenile, he was sent to prison.",She got probation and didn't go to prison.,Sobriety is enforced in the prison. ,The interrogation took place in prison.,N,N,N,N,N,N,'prison',prison,heroin,cocaine,prisoner,interrogation,bail,Prison
Professional,The worker is a veteran professional.,The seamstress was a true professional. ,The skilled professional maneuvers well.,"The beekeeper, always a professional, stayed calm.",The lumberyard needs a professional. ,The technician needs another professional’s opinion. ,N,N,N,N,*,Adj,'professional',professional,farmer,mechanic,plumber,hairdresser,janitor,Professional
Protection,She found security in his protection.,Privacy means protection around here. ,He avoids calling protection services. ,The shield provided little protection.,She feels safe with the given protection. ,He finds protection inside of the house.,N,N,Adj,N,N,N,'protection',protection,keep,safe,security,vault,shields,Protection
Quality,The shopkeeper will guarantee good quality. ,The performance quality sells the shows out.,He was a stickler for good quality.,Their standard of quality is higher than yours.  ,Maintaining quality of produce is hard.,Cleanliness is the first decree in quality. ,N,N,N,N,N,N,'quality',quality,proper,standard,guarantee,satisfaction,credibility,Quality
Reaction,Oxygen and metal create a reaction. ,The chemical reaction is hard to explain. ,Dilute the solutions for a reaction. ,Adding ethanol produces a new reaction. ,The impurity won’t create a reaction. ,The concentration bears impact on the reaction. ,N,N,N,N,N,N,'reaction',reaction,chemical,substance,atom,concentration,composition,Reaction
Read,I can't read that whole book. ,She read the information online.,The title was too long to read. ,Half of the literature she reads is medieval. ,He didn't read up on any of the relevant topics.,He read the documentation of the case. ,V,V,V,V,V,V,'read',read,book,document,poem,catalogue,brochure,Read
Relationship,Their relationship began as an affair.,The couple recently labeled its relationship.,Intimacy is gained in a relationship.,The brother's relationship was chummy. ,Her parents' relationship is harmonious. ,Their working relationship was amicable. ,N,N,N,N,N,N,'relationship',relationship,couple,partner,friendship,acquaintance,together,Relationship
Religious,Religious people often go to church. ,Religious people often pray.,"A religious man, he gave a prayer.",A missionary is religious by definition.  ,They perform religious practice at the chapel.,The religious man was pious. ,Adj,Adj,Adj,Adj,Adj,Adj,'religious',religious,church,pray,priest,worship,congregation,Religious
Residence,He took up residence in a nearby town.,The nearest residence is five miles away.,The lodge looks like a personal residence.,The neighborhood has a new residence or two.,The location of the residence is sublime. ,She could take up residence in the hotel. ,N,N,N,N,N,N,'residence',residence,town,neighborhood,park,lake,mall,Residence
Road,The bus blocked the entire road.,The tunnel cut through the main road. ,The sidewalk runs alongside the road. ,The road pileup didn't clear for hours.,"Surprisingly, the main road only has one lane.",The tollbooth was at the end of the road. ,N,N,N,N,N,N,'road',road,street,train,bus,traffic,subway,Road
Sad,The reminder of her sad past hurt her. ,The future could be happy or sad for her. ,The perplexing situation made him sad.,It was upsetting how sad she was. ,The depressing movie made everyone sad.,The moment was noteworthy yet sad. ,Adj,Adj,Adj,Adj,Adj,Adj,'sad',sad,important,interesting,exciting,odd,embarrassing,Sad
Science,The facility is used for science research.,The student studied many kinds of science.,This applied science is very different. ,His dissertation is in material sciences.,Economics is a kind of social science. ,The article is in a science journal. ,N,N,N,N,N,Adj,'science',science,lab,research,lecture,journal,engineering,Science
Seafood,Shrimp is a kind of seafood.,She ordered scallops at the seafood restaurant.,Tempura is one popular way to prepare seafood. ,He is happy to see flounder in the seafood section.,Caviar is a gourmet kind of seafood.,Chowder is made with different kinds of seafood.,N,Adj,N,Adj,N,N,'seafood',seafood,shrimp,tuna,lobster,crab,salmon,Seafood
Sell,Someone will buy the car if you sell it. ,She will sell it for cheap.,The high supply changes what you sell it for.,His hobby is to buy and sell comic books. ,The drugstore sells prescription drugs.,I sell secondhand clothes for a living. ,V,V,V,V,V,V,'sell',sell,buy,store,cheap,supermarket,advertising,Sell
Sew,You need an eye for detail to sew. ,The pattern was too hard to sew by hand.,He is quite crafty and likes to sew. ,She forgot to sew the last stitch.,He chose woodcarving over learning to sew. ,The artisan can sew the most beautiful gowns. ,V,V,V,V,V,V,'sew',sew,making,thread,knitting,yarn,crochet,Sew
Sexy,Many people find the model super sexy.,His girlfriend is so sexy.,The pervert thought her heartbeat was sexy.,The idea of a cheerleader is very sexy. ,"He's a babe, that's how sexy he is. ",Knowing how to seduce someone is sexy. ,Adj,Adj,Adj,Adj,Adj,Adj,'sexy',sexy,porn,fuck,blow,pussy,dick,Sexy
Shape,A two dimensional shape is flat.,A circle is an elementary shape. ,The pyramid is a three-dimensional shape. ,Her body has the shape of an hourglass. ,A typical cloud's shape is irregular.  ,The set dimensions created an odd shape. ,N,N,N,N,N,N,'shape',shape,square,circle,curve,triangle,cube,Shape
Ship,Boat is another name for a small ship.,The pilot made it onto the ship in time. ,The sail of the ship ripped in the wind.,The ship was off onto its next expedition.,The voyage began as the ship left the island. ,The yacht was the owner's favorite ship. ,N,N,N,N,N,N,'ship',ship,boat,plane,fly,sail,crew,Ship
Show,The show was still on television.,The show has one more episode next week. ,He thinks the show is a bit melodramatic.,The humor of the show is slapstick comedy.,She wants to reenact the storyline of the show.,This show is older than that sitcom.,N,N,N,N,N,N,'show',show,film,television,actor,dramatic,entertaining,Show
Sign,The sign marked the entrance.,The graffiti was a sign of his presence.,This was a telltale sign of love.,The sign was inscribed with rules.,The sign fell from the roof with a swoosh.,The sign hung from the billboard. ,N,N,N,N,N,N,'sign',sign,flag,badge,plaque,symbol,indicate,Sign
Silly,The unrealistic proposal was just silly. ,The silly rumor was just absurd.,The unsubstantiated claims are just silly.  ,The play was ridiculous and silly.,The overblown statistics sounded silly.,The news story was silly and unfounded. ,Adj,Adj,Adj,Adj,Adj,Adj,'silly',silly,ridiculous,foolish,mistaken,absurd,irrelevant,Silly
Sin,She can't forgive him for this sin.,Make sure your wrath doesn't make you sin.,Sin makes a sinner.,The sin of a firstborn is never forgotten. ,The couple is rejoicing in his sin. ,The extent of the sin was an abomination. ,N,V,N,N,N,N,'sin',sin,forgive,wicked,righteous,flesh,confess,Sin
Skin,The skin on her face turns red in the sun.,Shaving your skin makes it smoother.,Her skin is prone to a pimple or two. ,Tanning your skin artificially causes cancer.,The fragrance of his skin was delightful.,A vampire's skin can shimmer in the sun. ,N,N,N,N,N,N,'skin',skin,face,beauty,makeup,perfume,lipstick,Skin
Smart,The informed candidate has smart responses.,He seems smart and sincere. ,She is fearless and very smart. ,She genuinely is smart but doesn't work hard. ,The fifth grader is smart and resourceful. ,"While she’s too trusting, she’s smart.",Adj,Adj,Adj,Adj,Adj,Adj,'smart',smart,careful,honest,brave,friendly,helpful,Smart
Smiling,"Smiling, he stayed staring at the sun. ","Smiling innocently, she took the candy. ",He was smiling angrily.,"Smiling faintly, she said goodbye. ",The little boy is smiling obligingly.,The woman is smiling wistfully out the window. ,V,V,V,N,V,N,'smiling',smiling,calmly,casually,anxiously,suspiciously,hesitating,Smiling
Solution,The best solution has the least loopholes.,The perfect solution isn’t always simple.,A discrete ending to the affair is his solution.,The solution is straightforward and effective. ,Find a viable solution for global warming. ,Her solution is affordable for all parties. ,N,N,N,N,N,N,'solution',solution,quick,fair,simple,attractive,realistic,Solution
Soul,The soul and spirit are closely related.,The goodness of his soul makes him glow. ,The fact that he has a soul astounds him.,She hopes her soul will live on in eternity.,Her soul wished for something eternal.,His discovery of his soul was a blessing. ,N,N,N,N,N,N,'soul',soul,heaven,goodness,happiness,divine,eternity,Soul
Sound,The sound of her voice will resonate. ,The microphone wasn't producing any sound.,The speakerphone has great sound quality. ,That sound came from the keyboard. ,His sound was on mute. ,She’s broadcasting the sound across the field. ,N,N,Adj,N,N,N,'sound',sound,voice,radio,broadcast,recording,microphone,Sound
Spoke,"When she spoke, she stated the truth.",She candidly spoke about her experiences.,He spoke pessimistically over coffee.,He spoke conversationally without listening.,The child spoke engagingly in her presentation.,He tellingly spoke about the situation. ,V,V,V,V,V,V,'spoke',spoke,stated,truthfully,affectionately,eloquently,crudely,Spoke
Star,The star looked like an incoming meteor.,The star is light years away from Earth.,His star sign is Gemini.,The microcosmic star still shines bright. ,The spaceflight uncovered a new star. ,She likes that Capricorn is her star sign. ,N,N,Adj,N,N,Adj,'star',star,moon,planet,galaxy,rocket,astronaut,Star
Student,The student was in class when his aunt called.,Every student receives a merit scholarship.,The faculty to student ratio is high this year. ,The student reread her notes before the course. ,This past term zipped by for the student. ,Only one student in the class is bilingual. ,N,N,N,N,N,N,'student',student,course,school,education,learned,teacher,Student
Stupid,That guy is so stupid and such a fool.,The stupid secretary is just incompetent. ,He said a bunch of stupid baloney.,Good riddance to that stupid project! ,The stupid lowlife walked right out.  ,"She calls him a jackass, I think he’s stupid. ",Adj,Adj,Adj,Adj,Adj,Adj,'stupid',stupid,idiot,bastard,jerk,lazy,loser,Stupid
Successful,The successful actress is extremely famous.,The successful scientist exerts his influence.,The successful actor wants more fame.  ,Her successful career made her legendary. ,That powerhouse of a woman is so successful. ,He had been successful in the sixties. ,Adj,Adj,Adj,Adj,Adj,Adj,'successful',successful,famous,leading,reputation,celebrity,cult,Successful
Sugar,The recipe called for a cup of sugar.,Plain sugar is the only kind he uses.,Sugar and butter are his two big cravings.,Unrefined sugar has a grittier taste.,The tapioca is soaked in sugar. ,Powdered sugar can be very messy. ,N,N,N,N,N,N,'sugar',sugar,honey,oil,butter,syrup,coconut,Sugar
Suspect,The suspect was dead before they got there.,The police still don’t have a prime suspect.,The suspect attempted to run. ,The suspect committed suicide in prison.,The real kidnapper isn’t a suspect in the case. ,The suspect's motive was senseless. ,N,N,N,N,N,Adj,'suspect',suspect,murder,killer,victim,suspect,cop,Suspect
Table,The table is made of glass.,The chandelier hangs right above the table.,He put the candle on the table.,The porcelain is at the center of the table. ,The silverware looks beautiful on the table.,The chrome table had a very modern look. ,N,N,N,N,N,N,'table',table,desk,basket,cabinet,jar,clock,Table
Taste,She says the hot chocolate had a rich taste. ,The spicy taste lingered in her mouth.,The margarita has a zing to its taste.,Her delicate palate reacted strongly to the taste.,The distinctive taste of the cereal is gross.  ,She enjoyed the mousse’s aroma and taste. ,N,N,N,N,N,N,'taste',taste,touch,sweet,smell,rich,bitter,Taste
Team,The team won yet another game.,The team set a new record. ,The team was in the lead at halftime.,The entering freshman dominated the team.,The prospect of playing with the team is good. ,The team lineup was daunting ,N,N,N,N,N,Adj,'team',team,victory,field,match,player,score,Team
Texture,The table’s rough texture surprised him.,The weird-looking cake has a yucky texture.,The jellylike texture of the milk is bad.  ,The couch cushion had a plushy texture. ,His skin had become a leathery texture.,The floor’s sticky texture is disgusting. ,N,N,N,N,N,N,'texture',texture,rough,soft,smooth,slick,mushy,Texture
Time,He has a lot of time before the event. ,The days go by quicker with time.,They will reschedule the meeting soon.,He missed the time of the deadline.,Write the time into a calendar space. ,Tomorrow is a better time for her. ,N,N,N,N,N,N,'time',time,early,late,tomorrow,day,hour,Time
Tool,He needed any tool other than a saw. ,The machine seems like an excessive tool.  ,A stapler is the most useful office tool.,The switchblade can be a dangerous tool. ,The tool shop advertised the shears. ,The best tool for crushing is right here.  ,N,Adj,N,N,Adj,N,'tool',tool,saw,knife,hammer,scissors,screwdriver,Tool
Toy,The toy was so cute.,That doll is the perfect toy for her. ,The toy was jumbo sized. ,The toy is strangely lifelike.  ,The water toy was inflatable. ,The dinky toy kept the cat preoccupied. ,N,N,N,N,N,N,'toy',toy,doll,robot,piggy,ladybug,snowman,Toy
Tree,The apple tree bore fruit in the spring.,The orange tree provides bountiful produce.,The tree smelled like spearmint.,The sandalwood tree is yellow.,A hemlock is a kind of tree. ,The twig broke off of the tree. ,N,N,N,N,N,N,'tree',tree,flower,fruit,root,branch,leaf,Tree
Trial,The case finally went to trial. ,The lawyer meditated before the trial.,A decision will be made during the trial. ,The defendant in the trial got nervous.,The juror was forced to be in the trial. ,The trial is a huge a chance for the attorney. ,N,N,N,N,N,N,'trial',trial,case,judge,lawyer,trial,jury,Trial
Tried,He tried again later.,Soon afterwards she tried to call him. ,He tried to move the date to later. ,He tried to close the door forcibly. ,She hurriedly tried to run after the cat. ,He abandoned the endeavor when she tried. ,V,V,V,V,V,V,'tried',tried,then,once,soon,instead,quickly,Tried
Typical,It was typical for him to rely on her. ,It is typical for him to seem peculiar. ,It is typical for her to include him,She assumed that this weather is typical. ,He prefers the typical and conventional. ,She’s accustomed to a more typical interaction. ,Adj,Adj,Adj,Adj,Adj,Adj,'typical',typical,such,sort,usually,sometimes,common,Typical
Unaware,She is unaware of how oblivious he is.,She was unaware and unashamed of her status.,Her words were unprejudiced yet unaware.,He is inarticulate and unaware of this issue. ,He’s unaware of how uninterested she is. ,He’s unaware and unequipped for this. ,Adj,Adj,Adj,Adj,Adj,Adj,'unaware',unaware,unprepared,unprotected,unwilling,inexperienced,unconcerned,Unaware
Usable,The writing is usable but barely publishable.,The design is usable and reproducible. ,The distinguishable product isn't usable. ,The microwave is recognizably usable.,It will be marketable once it is universally usable. ,The usable parts are all salvageable. ,Adj,Adj,Adj,Adj,Adj,Adj,'usable',usable,easily,capable,understandable,tangible,actionable,Usable
Useless,Useless help desks are frustrating. ,The useless task was just busywork.,The presentation is useless and irritating. ,The trip was agonizing and quite useless. ,The grueling process is just useless.,The excruciating demands seemed useless. ,Adj,Adj,Adj,Adj,Adj,Adj,'useless',useless,complicated,wasted,painful,confusing,unnecessary,Useless
Vacation,The vacation started with a perfect sunset.,She can relax the rest of her vacation.,There's nothing like vacation in paradise.,The vacation in Hawaii was a luxury.,The vacation is a hideaway from home. ,Their honeymoon was a vacation in France. ,N,N,N,N,N,N,'vacation',vacation,relax,calm,enjoy,setting,pleasant,Vacation
War,The army was willing to lose the war. ,The camp is not safe from the war. ,The soldier was sent to war. ,He did not want to know of any war casualty.,You can rebel against a war. ,The battlefield of the war grew quickly. ,N,N,N,N,N,N,'war',war,army,fighting,enemy,soldier,wounded,War
Wash,"To make the counter sterile, wash it. ",The dishwasher can wash all the dishes.,He likes to wash himself with bar soap. ,She felt clean after she could wash herself.,You have to wash your laundry beforehand. ,The maid was asked to wash the floor. ,V,V,V,V,V,V,'wash',wash,clean,shower,laundry,sink,soap,Wash
Weak,She felt crummy and weak after the class.,The weak competition left her feeling mediocre. ,He saw himself as weak and unattractive. ,The poorly managed project lacks a foundation. ,The dismal building looks weak in the wind.,His weak pitch is amateurish.  ,Adj,Adj,Adj,Adj,Adj,Adj,'weak',weak,boring,miserable,awkward,hopeless,disappointing,Weak
Wear,She wanted to wear a dress tonight. ,When you wear silk you have to be careful.,I want to wear a handkerchief tonight.,I can't wear this unbuttoned to meet his parents.,I’ll scream if you wear bloomers again. ,I like to wear sheath-like material. ,V,V,V,V,V,V,'wear',wear,dress,skirt,blouse,gown,fashion,Wear
Weather,The cold weather almost ruined the trip.,Summer weather brightens everyone's mood.,The weather in autumn is bearable. ,The weather report didn’t predict the blizzard.,Typical summer weather is a monsoon. ,The balmy weather is good for his skin. ,N,N,N,Adj,N,N,'weather',weather,rain,snow,storm,sunshine,tcloudy,Weather
Willingly,"A happy kid, he willingly smiled. ","He incessantly complains, we willingly nod. ",He willingly and earnestly commits the crime.,She openly and willingly answered the questions.,She is fiercely and willingly independent. ,She consistently laughs willingly when he does.   ,Adv,Adv,Adv,Adv,Adv,Adv,'willingly',willingly,strongly,repeatedly,solemnly,endlessly,blindly,Willingly
Word,She used the correct word on her first try.,The sentence was missing a word.,Her nickname is a word used to describe goats.,That word is difficult to pronounce.,The spelling of the word makes no sense.,I can't seem to translate that word. ,N,N,N,N,N,N,'word',word,language,sentence,meaning,grammar,speak,Word
